id,smiles,metabolite_class,metabolite_subclass,name,molecular_weight,formula,cas_number,created_at,updated_at
8,OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-galactoside,449.385,C21H21O11,"",2002-08-22 11:51:47 UTC,2015-05-10 23:28:36 UTC
9,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-glucoside,449.385,C21H21O11,7084-24-4,2002-09-20 16:19:06 UTC,2015-05-10 23:28:36 UTC
10,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-rutinoside,595.526,C27H31O15,"",2002-09-20 16:19:39 UTC,2015-05-10 23:28:36 UTC
11,OC[C@H]1O[C@@H](O[C@H]2[C@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C=C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-sophoroside,611.525,C27H31O16,"",2002-09-20 16:20:08 UTC,2015-05-10 23:28:36 UTC
12,OC[C@@H]1O[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-glucoside,433.385,C21H21O10,18466-51-8,2002-09-20 16:20:38 UTC,2015-05-10 23:28:36 UTC
13,O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-malonyl-glucoside),535.431,C24H23O14,"",2004-04-14 14:20:32 UTC,2015-05-10 23:28:36 UTC
15,COC1=C(O)C=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Peonidin 3-O-glucoside,463.411,C22H23O11,6906-39-4,2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC
16,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(OC)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-rutinoside,609.553,C28H33O15,"",2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC
18,OC1=CC=C(C=C1)C1=[O+]C2=C(C=C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Pelargonidin,271.245,C15H11O5,7690-51-9,2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC
19,OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C=C1,Flavonoids,Anthocyanins,Cyanidin,287.244,C15H11O6,13306-05-3,2004-11-22 00:00:00 UTC,2015-05-10 23:28:37 UTC
